n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound,fixed bound ,Error from LPT,Error RL from bound,Error LPT from bound ,Mean error from LPT,Error RL from bound,Error LPT from bound 
9,3,1,20,4000,"{2,3,10,11,12,12,13,13,17}",35,34,24.38008833,0,6.341463415,21,25,2.857142857,26.47058824,28.57142857,,,
9,3,1,20,4000,"{3,4,10,12,12,12,12,13,16}",34,34,19.71890926,0,4.72972973,22,24,0,29.41176471,29.41176471,,,
9,3,1,20,4000,"{2,3,6,8,8,8,16,18,18}",30,30,19.31026816,0,1.449275362,14,24,0,20,20,,,
9,3,1,20,4000,"{2,3,4,13,13,14,14,15,20}",33,33,18.41882277,2.310231023,15.84158416,17,28,0,15.15151515,15.15151515,,,
9,3,1,20,4000,"{2,4,4,9,10,11,14,16,19}",30,30,20.42796183,1.92926045,15.11254019,13,25,0,16.66666667,16.66666667,,,
9,3,1,20,4000,"{4,4,6,6,8,8,14,15,19}",29,29,17.31441331,0,3.125,12,22,0,24.13793103,24.13793103,,,
9,3,1,20,4000,"{4,4,6,8,9,11,11,12,15}",27,27,17.70468879,0.352112676,10.21126761,14,22,0,18.51851852,18.51851852,,,
9,3,1,20,4000,"{8,9,9,14,14,15,15,16,20}",42,42,19.6120491,0,7.582938389,23,30,0,28.57142857,28.57142857,,,
9,3,1,20,4000,"{2,2,2,5,5,8,11,15,18}",23,23,16.66406488,0,2.631578947,8,19,0,17.39130435,17.39130435,,,
9,3,1,20,4000,"{4,5,10,11,13,17,19,19,20}",41,40,38.96294808,0,14.85714286,21,36,2.43902439,10,12.19512195,,,
9,3,1,20,4000,"{8,10,11,11,13,14,15,18,20}",41,41.2,17.76780367,0,12.09150327,22,29,-0.487804878,29.61165049,29.26829268,,,
9,3,1,20,4000,"{5,6,9,14,15,16,16,16,19}",40,39,28.54779625,0,16.94444444,23,32,2.5,17.94871795,20,,,
9,3,1,20,4000,"{2,3,9,9,9,10,13,13,16}",31,31,26.46539736,2.53164557,7.594936709,18,23,0,25.80645161,25.80645161,,,
9,3,1,20,4000,"{2,2,3,6,6,6,9,19,20}",25,25,17.32003713,0,1.818181818,9,20,0,20,20,,,
